--- Starting DDPG Training on Pendulum-v1 ---
Step:     199 | Ep Return: -876.49 | Avg Return (last 50): -876.49 | Ep Length:  200
Step:     400 | Ep Return: -1396.42 | Avg Return (last 50): -1136.45 | Ep Length:  201
Step:     601 | Ep Return: -949.66 | Avg Return (last 50): -1074.19 | Ep Length:  201
Step:     802 | Ep Return: -1199.36 | Avg Return (last 50): -1105.48 | Ep Length:  201
Step:    1003 | Ep Return: -849.84 | Avg Return (last 50): -1054.35 | Ep Length:  201
Step:    1204 | Ep Return: -1052.51 | Avg Return (last 50): -1054.05 | Ep Length:  201
Step:    1405 | Ep Return: -963.93 | Avg Return (last 50): -1041.17 | Ep Length:  201
Step:    1606 | Ep Return: -1148.09 | Avg Return (last 50): -1054.54 | Ep Length:  201
Step:    1807 | Ep Return: -1185.62 | Avg Return (last 50): -1069.10 | Ep Length:  201
Step:    2008 | Ep Return: -1362.03 | Avg Return (last 50): -1098.40 | Ep Length:  201
Step:    2209 | Ep Return: -1055.01 | Avg Return (last 50): -1094.45 | Ep Length:  201
Step:    2410 | Ep Return: -860.73 | Avg Return (last 50): -1074.97 | Ep Length:  201
Step:    2611 | Ep Return: -1651.19 | Avg Return (last 50): -1119.30 | Ep Length:  201
Step:    2812 | Ep Return: -975.66 | Avg Return (last 50): -1109.04 | Ep Length:  201
Step:    3013 | Ep Return: -1303.74 | Avg Return (last 50): -1122.02 | Ep Length:  201
Step:    3214 | Ep Return: -881.17 | Avg Return (last 50): -1106.97 | Ep Length:  201
Step:    3415 | Ep Return: -1173.15 | Avg Return (last 50): -1110.86 | Ep Length:  201
Step:    3616 | Ep Return: -1020.83 | Avg Return (last 50): -1105.86 | Ep Length:  201
Step:    3817 | Ep Return: -1653.13 | Avg Return (last 50): -1134.66 | Ep Length:  201
Step:    4018 | Ep Return: -837.22 | Avg Return (last 50): -1119.79 | Ep Length:  201
Step:    4219 | Ep Return: -976.87 | Avg Return (last 50): -1112.98 | Ep Length:  201
Step:    4420 | Ep Return: -969.82 | Avg Return (last 50): -1106.48 | Ep Length:  201
Step:    4621 | Ep Return: -1316.49 | Avg Return (last 50): -1115.61 | Ep Length:  201
Step:    4822 | Ep Return: -955.77 | Avg Return (last 50): -1108.95 | Ep Length:  201
Step:    5023 | Ep Return: -1489.89 | Avg Return (last 50): -1124.18 | Ep Length:  201
Step:    5224 | Ep Return: -964.08 | Avg Return (last 50): -1118.03 | Ep Length:  201
Step:    5425 | Ep Return: -1440.31 | Avg Return (last 50): -1129.96 | Ep Length:  201
Step:    5626 | Ep Return: -1085.02 | Avg Return (last 50): -1128.36 | Ep Length:  201
Step:    5827 | Ep Return: -1490.76 | Avg Return (last 50): -1140.85 | Ep Length:  201
Step:    6028 | Ep Return: -1400.70 | Avg Return (last 50): -1149.52 | Ep Length:  201
Step:    6229 | Ep Return: -1384.18 | Avg Return (last 50): -1157.09 | Ep Length:  201
Step:    6430 | Ep Return: -1182.88 | Avg Return (last 50): -1157.89 | Ep Length:  201
Step:    6631 | Ep Return: -1371.94 | Avg Return (last 50): -1164.38 | Ep Length:  201
Step:    6832 | Ep Return: -1326.48 | Avg Return (last 50): -1169.15 | Ep Length:  201
Step:    7033 | Ep Return: -1275.18 | Avg Return (last 50): -1172.18 | Ep Length:  201
Step:    7234 | Ep Return: -1311.49 | Avg Return (last 50): -1176.05 | Ep Length:  201
Step:    7435 | Ep Return: -1334.06 | Avg Return (last 50): -1180.32 | Ep Length:  201
Step:    7636 | Ep Return: -873.38 | Avg Return (last 50): -1172.24 | Ep Length:  201
Step:    7837 | Ep Return: -791.83 | Avg Return (last 50): -1162.48 | Ep Length:  201
Step:    8038 | Ep Return: -1318.31 | Avg Return (last 50): -1166.38 | Ep Length:  201
Step:    8239 | Ep Return: -871.63 | Avg Return (last 50): -1159.19 | Ep Length:  201
Step:    8440 | Ep Return: -1188.37 | Avg Return (last 50): -1159.89 | Ep Length:  201
Step:    8641 | Ep Return: -1213.02 | Avg Return (last 50): -1161.12 | Ep Length:  201
Step:    8842 | Ep Return: -1319.24 | Avg Return (last 50): -1164.72 | Ep Length:  201
Step:    9043 | Ep Return: -1083.31 | Avg Return (last 50): -1162.91 | Ep Length:  201
Step:    9244 | Ep Return: -1062.86 | Avg Return (last 50): -1160.73 | Ep Length:  201
Step:    9445 | Ep Return: -984.29 | Avg Return (last 50): -1156.98 | Ep Length:  201
Step:    9646 | Ep Return: -1043.17 | Avg Return (last 50): -1154.61 | Ep Length:  201
Step:    9847 | Ep Return: -1379.99 | Avg Return (last 50): -1159.21 | Ep Length:  201
Step:   10048 | Ep Return: -1071.24 | Avg Return (last 50): -1157.45 | Ep Length:  201
Step:   10249 | Ep Return: -1352.18 | Avg Return (last 50): -1166.96 | Ep Length:  201
Step:   10450 | Ep Return: -1736.33 | Avg Return (last 50): -1173.76 | Ep Length:  201
Step:   10651 | Ep Return: -1707.72 | Avg Return (last 50): -1188.92 | Ep Length:  201
Step:   10852 | Ep Return: -1499.56 | Avg Return (last 50): -1194.92 | Ep Length:  201
Step:   11053 | Ep Return: -1605.36 | Avg Return (last 50): -1210.03 | Ep Length:  201
Step:   11254 | Ep Return: -1491.60 | Avg Return (last 50): -1218.82 | Ep Length:  201
Step:   11455 | Ep Return: -1453.88 | Avg Return (last 50): -1228.62 | Ep Length:  201
Step:   11656 | Ep Return: -1332.24 | Avg Return (last 50): -1232.30 | Ep Length:  201
Step:   11857 | Ep Return: -1225.34 | Avg Return (last 50): -1233.09 | Ep Length:  201
Step:   12058 | Ep Return: -1164.21 | Avg Return (last 50): -1229.14 | Ep Length:  201
Step:   12259 | Ep Return: -916.49 | Avg Return (last 50): -1226.37 | Ep Length:  201
Step:   12460 | Ep Return: -678.38 | Avg Return (last 50): -1222.72 | Ep Length:  201
Step:   12661 | Ep Return: -652.08 | Avg Return (last 50): -1202.74 | Ep Length:  201
Step:   12862 | Ep Return: -668.31 | Avg Return (last 50): -1196.59 | Ep Length:  201
Step:   13063 | Ep Return: -394.05 | Avg Return (last 50): -1178.40 | Ep Length:  201
Step:   13264 | Ep Return: -262.60 | Avg Return (last 50): -1166.02 | Ep Length:  201
Step:   13465 | Ep Return: -514.91 | Avg Return (last 50): -1152.86 | Ep Length:  201
Step:   13666 | Ep Return: -384.59 | Avg Return (last 50): -1140.13 | Ep Length:  201
Step:   13867 | Ep Return: -128.83 | Avg Return (last 50): -1109.65 | Ep Length:  201
Step:   14068 | Ep Return: -132.93 | Avg Return (last 50): -1095.56 | Ep Length:  201
Step:   14269 | Ep Return: -249.51 | Avg Return (last 50): -1081.02 | Ep Length:  201
Step:   14470 | Ep Return: -122.18 | Avg Return (last 50): -1064.06 | Ep Length:  201
Step:   14671 | Ep Return:   -7.93 | Avg Return (last 50): -1037.89 | Ep Length:  201
Step:   14872 | Ep Return: -131.41 | Avg Return (last 50): -1021.40 | Ep Length:  201
[Metrics] Step: 15000/50000 | Q-Loss: 8.6199 | Pi-Loss: 82.3267 | SPS: 831
Step:   15073 | Ep Return:   -5.00 | Avg Return (last 50): -991.71 | Ep Length:  201
Step:   15274 | Ep Return: -335.13 | Avg Return (last 50): -979.13 | Ep Length:  201
Step:   15475 | Ep Return: -129.52 | Avg Return (last 50): -952.91 | Ep Length:  201
Step:   15676 | Ep Return: -245.72 | Avg Return (last 50): -936.13 | Ep Length:  201
Step:   15877 | Ep Return: -117.09 | Avg Return (last 50): -908.65 | Ep Length:  201
Step:   16078 | Ep Return: -121.35 | Avg Return (last 50): -883.07 | Ep Length:  201
Step:   16279 | Ep Return: -131.09 | Avg Return (last 50): -858.00 | Ep Length:  201
Step:   16480 | Ep Return: -125.73 | Avg Return (last 50): -836.86 | Ep Length:  201
Step:   16681 | Ep Return:   -0.21 | Avg Return (last 50): -809.43 | Ep Length:  201
Step:   16882 | Ep Return: -131.52 | Avg Return (last 50): -785.53 | Ep Length:  201
Step:   17083 | Ep Return: -120.23 | Avg Return (last 50): -762.43 | Ep Length:  201
Step:   17284 | Ep Return: -118.63 | Avg Return (last 50): -738.57 | Ep Length:  201
Step:   17485 | Ep Return: -257.61 | Avg Return (last 50): -717.04 | Ep Length:  201
Step:   17686 | Ep Return: -125.89 | Avg Return (last 50): -702.09 | Ep Length:  201
Step:   17887 | Ep Return: -365.95 | Avg Return (last 50): -693.57 | Ep Length:  201
Step:   18088 | Ep Return: -339.34 | Avg Return (last 50): -674.00 | Ep Length:  201
Step:   18289 | Ep Return: -117.89 | Avg Return (last 50): -658.92 | Ep Length:  201
Step:   18490 | Ep Return: -119.75 | Avg Return (last 50): -637.55 | Ep Length:  201
